Category,Gender,Name,Origin,Meaning,Name Length,First Letter
nothing,Male,Jimiyu,African---Abaluhyan,Born during the dry season,6,J
nothing,Male,Donkor,African---Akan,Humble,6,D
nothing,Male,Minkah,African---Akan,Light haired,6,M
nothing,Male,Chikae,African---American,Power of God,6,C
nothing,Male,Cleavon,African---American,Cliff,7,C
nothing,Male,Elon,African---American,Spirit,4,E
nothing,Male,Kivi,African---American,One who lives by a stone,4,K
Virtues,Male,Laphonso,African---American,Noble,8,L
nothing,Male,Masio,African---American,Twin,5,M
Birth Order,Male,Quadrees,African---American,Fourth born child,8,Q
nothing,Male,Baruti,African---Botswana,Teacher,6,B
nothing,Male,Fenyang,African---Botswana,Conqueror,7,F
nothing,Male,Kefentse,African---Botswana,Conqueror,8,K
nothing,Male,Kopano,African---Botswana,Union,6,K
nothing,Male,Montsho,African---Botswana,"Black, dark",7,M
nothing,Male,Tale,African---Botswana,Green,4,T
nothing,Male,Tau,African---Botswana,Lion,3,T
nothing,Male,Ammon,African---Egyptian,"Hidden, secret",5,A
Nature,Male,Geb,African---Egyptian,Earth,3,G
God,Male,Horus,African---Egyptian,God of the sky,5,H
Nature,Male,Keb,African---Egyptian,Earth (Egyptian god),3,K
nothing,Male,Mishiki,African---Egyptian,From the east,7,M
nothing,Male,Neco,African---Egyptian,"Unseeing, blind",4,N
nothing,Male,Nen,African---Egyptian,Water spirit,3,N
God,Male,Osiris,African---Egyptian,God of rebirth and resurrection,6,O
God,Male,Rameses,African---Egyptian,God of the sun,7,R
Virtues,Male,Sed,African---Egyptian,"Savior, rescuer",3,S
nothing,Male,Sef,African---Egyptian,Yesterday,3,S
God,Male,Thoth,African---Egyptian,God of the moon and wisdom,5,T
nothing,Male,Kelile,African---Ethiopian,"Protected, guarded",6,K
Virtues,Male,Lebna,African---Ethiopian,"Spirit, life",5,L
nothing,Male,Negasi,African---Ethiopian,He will become royalty,6,N
nothing,Male,Ogbay,African---Ethiopian,Don't take him away,5,O
nothing,Male,Tefere,African---Ethiopian,Seed,6,T
Nature,Male,Tekle,African---Ethiopian,Plant,5,T
Birth Order,Male,Quaashie,African---Ewe,Born on Sunday,8,Q
Birth Order,Male,Jojo,African---Fanti,Born on Monday,4,J
Birth Order,Male,Abeeku,African---Ghanian,Born on Wednesday,6,A
nothing,Male,Addae,African---Ghanian,Morning sun,5,A
Birth Order,Male,Adeben,African---Ghanian,Twelfth- born son,6,A
nothing,Male,Adika,African---Ghanian,First child from second husband,5,A
Strength and Power,Male,Adofo,African---Ghanian,Warrior,5,A
God,Male,Adom,African---Ghanian,God's blessing,4,A
Birth Order,Male,Adusa,African---Ghanian,Thirteenth-born,5,A
Birth Order,Male,Akua,African---Ghanian,Born on Thursday,4,A
Birth Order,Male,Akwetee,African---Ghanian,Second of twins,7,A
Birth Order,Male,Anane,African---Ghanian,Fourth son,5,A
Birth Order,Male,Anum,African---Ghanian,Fifth-born,4,A
nothing,Male,Ata,African---Ghanian,Twin,3,A
Birth Order,Male,Atsu,African---Ghanian,Second of twins,4,A
Birth Order,Male,Atu,African---Ghanian,Born on Saturday,3,A
Birth Order,Male,Bobo,African---Ghanian,Born on Tuesday,4,B
Nature,Male,Bodua,African---Ghanian,Animal tail,5,B
Birth Order,Male,Ebo,African---Ghanian,Born on Tuesday,3,E
God,Male,Enam,African---Ghanian,Gift from God,4,E
nothing,Male,Fynn,African---Ghanian,A river in Ghana,4,F
nothing,Male,Gyasi,African---Ghanian,Wonderful,5,G
nothing,Male,Kesse,African---Ghanian,"Fat, chubby",5,K
Birth Order,Male,Kodwo,African---Ghanian,Born on Monday,5,K
Birth Order,Male,Kofi,African---Ghanian,Born on Friday,4,K
Birth Order,Male,Kojo,African---Ghanian,Born on Monday,4,K
Birth Order,Male,Kontar,African---Ghanian,Only child,6,K
Birth Order,Male,Kpodo,African---Ghanian,First born of twins,5,K
Birth Order,Male,Kwabena,African---Ghanian,Born on Tuesday,7,K
Birth Order,Male,Kwakou,African---Ghanian,Born on Wednesday,6,K
Birth Order,Male,Kwas,African---Ghanian,Born on Sunday,4,K
Birth Order,Male,Manu,African---Ghanian,Second son,4,M
God,Male,Mawuli,African---Ghanian,God exists,6,M
Birth Order,Male,Mensah,African---Ghanian,Third son,6,M
nothing,Male,Odom,African---Ghanian,Oak tree,4,O
nothing,Male,Osei,African---Ghanian,"Noble, regal",4,O
nothing,Male,Tano,African---Ghanian,River,4,T
Birth Order,Male,Tuaco,African---Ghanian,Eleventh born child,5,T
nothing,Male,Yafeu,African---Ghanian,Bold,5,Y
nothing,Male,Agu,African---Ibo,Leopard,3,A
nothing,Male,Chiumbo,African---Kenyan,"Small child, young",7,C
nothing,Male,Hamidi,African---Kenyan,Admirable,6,H
Strength and Power,Male,Kamau,African---Kenyan,"Warrior, fighter",5,K
nothing,Male,Kereenyaga,African---Kenyan,Mysterious mountain,10,K
nothing,Male,Njau,African---Kenyan,Young bull,4,N
nothing,Male,Thabiti,African---Kenyan,Man,7,T
nothing,Male,Tumaini,African---Kenyan,Hope,7,T
nothing,Male,Wachiru,African---Kenyan,Son of the lawmaker,7,W
Birth Order,Male,Wambua,African---Kenyan,Born during the rainy season,6,W
nothing,Male,Wanjohi,African---Kenyan,Brewer,7,W
nothing,Male,Wekesa,African---Kenyan,Born during harvest,6,W
nothing,Male,Barasa,African---Kikuyu,Meeting place,6,B
nothing,Male,Matslmela,African---Lesotho,Roots,9,M
nothing,Male,Dembe,African---Lugandan,Peace,5,D
Strength and Power,Male,Kibuuka,African---Lugandan,"Brave warrior, fighter",7,K
Strength and Power,Male,Bomani,African---Malawian,Strong warrior,6,B
Strength and Power,Male,Bornani,African---Malawian,"Warrior, soldier",7,B
nothing,Male,Chisulo,African---Malawian,Steel,7,C
nothing,Male,Dulani,African---Malawian,"Cutting, sharp",6,D
nothing,Male,Fulumirani,African---Malawian,Journey,10,F
nothing,Male,Funsan,African---Malawian,"Request, ask",6,F
nothing,Male,Kafele,African---Malawian,Worth dying for,6,K
nothing,Male,Kamangeni,African---Malawian,Relative,9,K
nothing,Male,Kapeni,African---Malawian,Knife,6,K
nothing,Male,Kasiya,African---Malawian,"Trip, journey",6,K
nothing,Male,Kondwani,African---Malawian,Happy,8,K
nothing,Male,Kudyauku,African---Malawian,Feast,8,K
nothing,Male,Kwacha,African---Malawian,Morning,6,K
nothing,Male,Kwayera,African---Malawian,Sunrise,7,K
nothing,Male,Kwende,African---Malawian,Let's go,6,K
nothing,Male,Lisimba,African---Malawian,Harmed by a lion,7,L
nothing,Male,Lugono,African---Malawian,Sleep,6,L
Nature,Male,Madzimoyo,African---Malawian,Water of life,9,M
Nature,Male,Malawa,African---Malawian,Flowers,6,M
Nature,Male,Mandala,African---Malawian,Flowers,7,M
nothing,Male,Mandondo,African---Malawian,Drops,8,M
Nature,Male,Masamba,African---Malawian,Leaves,7,M
nothing,Male,Mlengalenga,African---Malawian,Heaven,11,M
nothing,Male,Mtima,African---Malawian,Heart,5,M
Virtues,Male,Mwai,African---Malawian,Prosperity,4,M
nothing,Male,Mwla,African---Malawian,Rain,4,M
nothing,Male,Ndale,African---Malawian,"A trick, trickster",5,N
nothing,Male,Ngolinga,African---Malawian,Whiner,8,N
nothing,Male,Ngunda,African---Malawian,"Dove, bird",6,N
nothing,Male,Sabola,African---Malawian,Pepper,6,S
nothing,Male,Tsalani,African---Malawian,"Goodbye, farewell",7,T
nothing,Male,Umi,African---Malawian,Life,3,U
nothing,Male,Unika,African---Malawian,"To shine, glow",5,U
nothing,Male,Useni,African---Malawian,Tell me,5,U
nothing,Male,Usi,African---Malawian,Smoke,3,U
nothing,Male,Zikomo,African---Malawian,Thank you,6,Z
nothing,Male,Kamuzu,African---Nguni,Medicine,6,K
nothing,Male,Mpasa,African---Nguni,Mat,5,M
nothing,Male,Abayomi,African---Nigerian,Brings happiness,7,A
Birth Order,Male,Abejide,African---Nigerian,Born in winter,7,A
Birth Order,Male,Abiodun,African---Nigerian,Born during war,7,A
Birth Order,Male,Abiola,African---Nigerian,Born during the New Year,6,A
nothing,Male,Ade,African---Nigerian,"Royal, noble",3,A
nothing,Male,Adebayo,African---Nigerian,He was happy,7,A
nothing,Male,Adejola,African---Nigerian,The crown needs honor,7,A
nothing,Male,Adesola,African---Nigerian,The crown honors us,7,A
Virtues,Male,Adio,African---Nigerian,Righteous,4,A
nothing,Male,Adisa,African---Nigerian,One who is clear,5,A
nothing,Male,Adunbi,African---Nigerian,Pleasant,6,A
nothing,Male,Aiyetoro,African---Nigerian,Peace on earth,8,A
nothing,Male,Ajani,African---Nigerian,He fights for possession,5,A
Strength and Power,Male,Akanni,African---Nigerian,Our encounter brings wealth,6,A
Birth Order,Male,Akinlabi,African---Nigerian,We have a boy,8,A
nothing,Male,Akinlana,African---Nigerian,Brave,8,A
nothing,Male,Akono,African---Nigerian,My turn,5,A
nothing,Male,Amadi,African---Nigerian,Fated to die at birth,5,A
nothing,Male,Aniweta,African---Nigerian,A spirit brings it,7,A
nothing,Male,Apara,African---Nigerian,A child that comes and goes,5,A
nothing,Male,Atuyana,African---Nigerian,Unexpected,7,A
nothing,Male,Ayo,African---Nigerian,"Happy, happiness",3,A
nothing,Male,Azi,African---Nigerian,Youth,3,A
Family relations,Male,Babafemi,African---Nigerian,My father loves me,8,B
